stock_code,company_name_x,risk_score,leverage_z,operating_asset_ratio_z,operating_liability_ratio_z,ocf_growth_z,cash_to_debt_z,gross_margin_z,net_profit_ratio_z,operating_profit_ratio_z,profit_to_total_profit_z,cash_profit_ratio_z,cashflow_to_debt_z,ocf_ratio_z
603167,渤海轮渡,30.4,4.563,3.354,9.834,39.425,98.404,0.35,1.04,1.257,1.891,63.555,57.376,83.755
2160,常铝股份,38.175,24.253,55.97,14.63,39.392,99.593,0.376,1.06,1.289,1.901,66.381,69.453,83.804
603370,华新精科,35.263,18.078,36.372,19.929,40.248,97.791,0.355,1.041,1.268,1.882,63.362,59.033,83.794
603398,*ST沐邦,36.884,38.067,16.576,31.252,39.527,99.913,0.373,1.058,1.287,1.879,61.475,67.477,83.722
603366,日出东方,35.283,19.077,20.597,26.407,39.555,99.55,0.374,1.054,1.283,1.88,63.415,66.447,83.76
2403,爱仕达,37.133,29.392,34.597,21.685,39.472,99.739,0.395,1.083,1.313,1.877,63.925,68.322,83.799
301518,长华化学,36.184,6.769,19.732,57.001,39.849,96.032,0.369,1.054,1.283,1.882,63.676,62.766,83.8
2915,中欣氟材,36.113,20.547,24.994,26.304,39.34,99.491,0.376,1.081,1.31,1.875,63.689,70.545,83.807
2878,元隆雅图,37.724,18.102,44.039,32.152,40.398,97.104,0.376,1.06,1.29,1.834,63.787,68.742,83.803
600692,亚通股份,41.632,23.35,70.072,29.578,39.362,99.362,0.377,1.06,1.29,1.902,78.871,70.554,83.807
605589,圣泉集团,34.63,12.56,27.105,19.268,39.544,99.2,0.362,1.047,1.275,1.883,63.686,65.957,83.671
603093,南华期货,33.054,40.855,0.0,0.126,39.666,98.098,0.365,1.051,1.279,1.881,62.237,67.294,83.797
903,ST云动,41.672,35.161,38.782,47.267,39.542,99.561,0.41,1.097,1.326,1.877,63.598,71.45,100.0
600173,卧龙新能,39.889,17.114,66.876,33.046,39.526,99.148,0.364,1.055,1.283,1.889,64.185,70.378,83.806
301632,广东建科,35.844,10.797,27.633,35.395,39.512,96.639,0.353,1.048,1.276,1.88,63.803,67.99,83.8
300709,精研科技,36.714,16.059,33.089,37.146,39.607,98.33,0.361,1.051,1.281,1.874,63.407,64.568,83.797
2738,中矿资源,31.183,9.878,12.992,5.797,39.54,95.937,0.318,1.005,1.23,1.88,63.637,58.189,83.794
603406,天富龙,34.957,5.458,19.904,45.05,39.517,96.056,0.359,1.041,1.269,1.88,63.765,61.406,83.783
603613,国联股份,33.08,23.563,9.717,6.953,39.522,97.337,0.37,1.056,1.284,1.891,63.789,67.679,83.8
1221,悍高集团,36.272,17.028,15.782,53.832,40.975,97.161,0.352,1.038,1.264,1.882,63.56,58.594,83.792
300500,启迪设计,39.683,28.613,35.258,54.156,39.596,99.124,0.377,1.09,1.318,1.878,64.045,66.953,83.784
601991,大唐发电,34.049,32.086,8.675,11.464,39.507,99.873,0.372,1.059,1.283,1.905,61.169,67.519,83.678
600215,派斯林,36.203,22.352,22.779,26.092,39.559,99.728,0.367,1.052,1.285,1.855,64.321,70.831,84.215
670,盈方微,42.428,37.8,83.308,26.466,39.564,99.97,0.377,1.063,1.291,1.807,63.458,69.906,84.124
301609,山大电力,37.889,21.529,45.562,34.509,39.634,97.894,0.351,1.032,1.258,1.882,63.568,63.657,83.793
1207,联科科技,34.916,10.96,23.802,30.983,39.675,95.834,0.363,1.047,1.275,1.882,63.724,65.648,83.8
600469,风神股份,36.412,24.666,27.258,27.332,39.416,99.049,0.364,1.051,1.28,1.883,63.635,67.226,83.784
301491,汉桑科技,37.18,12.128,39.903,43.908,39.437,94.139,0.355,1.041,1.268,1.881,63.744,64.564,83.786
688309,恒誉环保,37.249,6.078,12.835,72.48,39.277,96.808,0.335,1.044,1.272,1.881,63.746,67.43,83.802
688287,*ST观典,32.885,2.51,21.305,27.348,39.546,92.636,0.351,1.046,1.278,1.877,63.417,59.517,83.791
603887,城地香江,37.297,28.093,35.649,25.532,39.572,99.287,0.381,1.101,1.333,1.879,64.049,66.92,83.766
300460,ST惠伦,35.403,23.339,26.824,13.455,39.554,99.741,0.434,1.124,1.364,1.883,63.825,69.468,83.822
688211,中科微至,37.728,20.298,46.755,33.657,39.541,99.527,0.374,1.059,1.289,1.87,58.678,66.151,83.534
688022,瀚川智能,38.156,25.483,48.633,21.97,39.434,99.825,0.393,1.07,1.304,1.89,63.204,70.613,84.053
603558,健盛集团,34.422,13.122,33.264,12.835,39.505,99.137,0.359,1.043,1.272,1.878,63.623,63.975,83.045
600653,申华控股,36.146,32.303,38.232,3.203,39.549,99.73,0.378,1.066,1.296,1.874,63.931,68.432,83.756
603662,柯力传感,33.92,12.77,22.804,13.535,39.529,99.785,0.348,1.017,1.237,1.884,63.768,66.601,83.761
688196,卓越新能,34.983,5.023,34.561,10.386,39.384,97.853,0.377,1.056,1.286,1.876,64.588,79.603,83.807
688573,信宇人,40.614,21.999,48.061,55.473,39.66,98.966,0.367,1.046,1.276,1.875,64.251,70.592,83.807
688793,倍轻松,37.03,20.492,28.632,40.213,39.435,97.476,0.383,1.066,1.295,1.871,64.153,65.719,83.623
688592,司南导航,36.085,7.13,39.46,32.354,39.913,90.929,0.368,1.045,1.276,1.876,64.014,70.857,83.803
600777,*ST新潮,31.519,17.802,3.999,3.934,39.511,99.46,0.32,1.017,1.235,1.885,63.394,61.922,83.754
603262,技源集团,36.017,10.46,38.944,33.141,39.404,98.3,0.347,1.034,1.259,1.882,63.69,59.968,83.779
688729,屹唐股份,36.501,15.863,45.983,19.922,39.596,98.544,0.367,1.049,1.28,1.871,63.536,66.206,83.799
688357,建龙微纳,34.78,18.341,17.166,21.224,40.083,98.422,0.353,1.037,1.263,1.882,63.985,69.804,83.804
688231,隆达股份,35.793,7.104,35.43,22.873,39.42,98.434,0.37,1.054,1.283,1.877,64.509,73.356,83.811
603106,恒银科技,34.993,13.362,26.173,23.845,39.617,95.989,0.426,1.133,1.375,1.884,63.887,68.426,83.801
300225,*ST金泰,36.102,15.316,31.284,24.506,41.958,98.669,0.374,1.057,1.287,1.885,63.995,69.083,83.803
688363,华熙生物,36.098,7.325,21.195,52.832,39.479,97.621,0.361,1.046,1.273,1.883,63.668,62.706,83.793
300551,古鳌科技,33.906,15.56,20.692,10.151,39.398,98.155,0.387,1.082,1.31,1.875,63.699,70.753,83.804
1235,里得电科,36.259,10.696,47.222,24.585,39.449,98.863,0.353,1.036,1.264,1.88,63.584,62.473,83.704
603598,引力传媒,40.734,38.119,50.166,41.304,39.447,99.047,0.375,1.059,1.288,1.886,63.797,68.526,83.79
600637,东方明珠,34.815,9.282,13.049,40.272,39.448,97.459,0.361,1.049,1.272,1.89,63.4,66.588,83.711
600930,华电新能,34.541,33.149,11.998,10.853,38.987,99.921,0.329,1.012,1.233,1.883,63.539,67.823,83.769
301630,同宇新材,34.744,24.703,18.998,16.204,40.402,98.894,0.346,1.033,1.258,1.883,63.678,65.732,83.797
688311,盟升电子,37.041,16.111,38.197,30.417,39.546,98.203,0.41,1.086,1.318,1.881,63.609,69.889,83.824
603198,迎驾贡酒,35.367,12.213,43.23,19.164,39.599,97.966,0.313,1.01,1.224,1.886,63.707,60.307,83.79
300152,ST新动力,38.728,26.556,42.597,35.151,39.319,99.834,0.418,1.114,1.342,1.878,63.868,68.856,83.803
605299,舒华体育,36.215,14.501,28.746,36.983,39.501,98.943,0.362,1.047,1.272,1.885,63.555,64.082,83.7
300338,ST开元,37.582,55.677,13.944,17.928,39.505,99.948,0.379,1.181,1.374,1.864,63.789,71.496,83.901
603341,龙旗科技,42.986,36.649,61.339,59.888,39.47,99.036,0.374,1.057,1.287,1.88,63.452,67.608,83.795
603388,*ST元成,38.157,25.308,24.462,46.967,39.386,99.89,0.417,1.149,1.391,1.882,63.77,69.451,83.808
301678,新恒汇,36.768,4.186,40.043,51.663,39.832,95.012,0.342,1.031,1.257,1.881,63.758,58.429,83.788
603629,利通电子,35.987,24.194,29.124,26.925,39.588,98.974,0.374,1.057,1.287,1.881,60.703,63.956,83.787
603617,君禾股份,34.012,14.717,21.101,19.133,39.707,96.568,0.373,1.053,1.281,1.883,63.02,65.512,83.8
600033,福建高速,32.377,7.963,5.03,25.26,39.485,98.903,0.302,1.016,1.212,1.893,63.469,60.227,83.767
1288,运机集团,37.255,18.395,42.416,28.407,40.115,97.015,0.36,1.046,1.274,1.882,63.822,68.526,83.802
692,惠天热电,37.295,43.808,18.093,28.929,39.411,99.7,0.437,0.986,1.214,1.877,63.649,65.657,83.776
688577,浙海德曼,38.222,17.358,38.076,46.027,39.456,99.716,0.373,1.054,1.284,1.877,63.255,66.411,83.781
1388,信通电子,40.098,21.224,53.713,48.425,39.564,98.863,0.356,1.04,1.269,1.88,63.769,67.285,83.785
688333,铂力特,35.004,11.893,23.344,26.781,41.199,94.648,0.364,1.046,1.277,1.874,64.08,69.738,83.803
603382,海阳科技,36.399,25.499,39.674,15.136,39.555,99.321,0.371,1.056,1.284,1.887,63.403,65.982,83.622
300738,奥飞数据,33.007,28.925,4.45,4.767,39.56,99.76,0.362,1.045,1.272,1.882,63.067,67.253,83.743
688520,神州细胞,37.117,55.945,23.957,3.946,39.387,99.733,0.378,1.092,1.29,1.877,63.705,70.284,83.806
600392,盛和资源,35.969,16.029,43.354,14.221,39.332,98.73,0.373,1.058,1.286,1.887,63.669,67.884,83.799
688613,奥精医疗,30.853,2.907,6.839,9.592,39.509,96.02,0.366,1.025,1.258,1.873,63.708,63.342,83.799
603400,华之杰,41.156,19.043,54.732,64.355,40.0,98.033,0.355,1.041,1.269,1.881,63.72,65.645,83.797
301590,优优绿能,38.99,20.593,49.685,45.905,39.498,97.07,0.344,1.031,1.257,1.882,63.688,63.132,83.796
301308,江波龙,38.85,23.714,60.051,17.969,39.414,99.49,0.388,1.073,1.306,1.885,63.285,73.797,83.827
1390,古麒绒材,38.46,16.85,71.112,13.502,39.595,99.291,0.354,1.038,1.268,1.877,63.882,68.949,83.804
688775,影石创新,37.002,12.293,21.964,63.705,39.614,97.1,0.34,1.026,1.252,1.881,63.714,57.343,83.79
603218,日月股份,36.41,12.513,17.149,50.295,39.496,98.679,0.362,1.045,1.274,1.878,63.651,66.784,83.794
2538,司尔特,34.281,7.396,18.142,25.362,39.261,99.538,0.371,1.055,1.283,1.887,63.936,69.333,83.803
629,钒钛股份,33.898,7.647,9.207,32.499,39.421,98.22,0.365,1.049,1.278,1.881,63.83,67.578,83.8
603399,永杉锂业,35.58,22.346,25.767,25.858,39.927,98.215,0.376,1.067,1.298,1.883,64.4,62.037,83.786
600182,S佳通,39.669,21.228,68.958,28.897,39.469,99.53,0.359,1.054,1.273,1.9,63.509,66.108,83.742
301337,亚华电子,35.007,4.401,26.67,44.751,39.995,82.511,0.354,1.041,1.269,1.88,63.904,69.501,83.803
300326,ST凯利,32.501,4.788,19.849,18.864,39.312,95.368,0.364,1.043,1.268,1.883,63.45,60.043,83.783
688603,天承科技,31.968,2.096,17.619,23.959,39.944,90.109,0.349,1.035,1.26,1.882,63.689,57.871,83.801
603867,新化股份,34.557,17.517,16.846,23.8,39.451,98.588,0.358,1.046,1.271,1.886,63.68,66.472,83.768
603049,中策橡胶,38.489,28.802,37.862,36.362,39.701,99.639,0.365,1.049,1.279,1.878,63.702,67.445,83.787
42,中洲控股,40.726,37.235,80.424,11.124,39.538,99.9,0.367,1.097,1.322,1.872,64.001,68.103,83.733
301595,太力科技,36.462,16.963,22.793,48.629,39.673,96.611,0.359,1.045,1.273,1.882,63.565,60.958,83.79
688755,汉邦科技,36.724,23.702,46.118,14.943,39.449,97.895,0.357,1.048,1.275,1.883,63.491,66.743,83.789
605567,春雪食品,35.63,23.053,20.54,26.093,39.538,98.751,0.377,1.062,1.291,1.831,64.87,66.517,83.639
600177,雅戈尔,33.841,22.841,22.838,3.253,39.54,99.055,0.363,1.023,1.247,1.882,63.542,66.731,83.772
2686,亿利达,37.14,18.684,38.468,31.041,39.697,99.168,0.372,1.058,1.288,1.89,62.771,67.445,83.793
601012,隆基绿能,35.88,25.58,22.422,25.198,39.448,98.15,0.36,1.048,1.276,1.881,63.742,67.667,83.787
688246,嘉和美康,38.391,13.519,44.74,40.776,39.525,97.732,0.373,1.053,1.291,2.169,64.645,71.057,83.809
603959,百利科技,40.758,38.726,41.564,48.693,39.337,99.541,0.383,1.069,1.309,1.878,63.795,68.993,83.804
603922,金鸿顺,35.64,14.969,25.821,26.892,39.45,96.436,0.391,1.058,1.29,1.835,65.519,70.204,83.816
603130,云中马,34.75,20.828,20.948,12.222,39.41,98.308,0.369,1.053,1.282,1.881,64.365,72.53,83.811
600525,ST长园,38.573,28.241,45.084,32.711,39.544,99.521,0.375,1.059,1.287,1.895,62.002,67.538,83.612
301662,宏工科技,41.83,36.833,71.125,33.299,39.787,99.701,0.359,1.046,1.274,1.88,63.897,68.95,83.804
688737,中自科技,36.878,12.405,34.495,27.931,39.493,99.469,0.375,1.056,1.287,1.874,65.358,74.98,83.809
688710,益诺思,34.315,18.178,29.57,8.772,39.434,96.914,0.345,1.032,1.26,1.88,63.723,66.878,83.792
688709,成都华微,38.551,18.551,62.484,22.51,39.443,99.473,0.325,1.01,1.237,1.88,63.844,68.06,83.792
688661,和林微纳,35.69,4.357,15.376,60.57,40.024,85.981,0.397,1.071,1.308,1.892,63.782,69.722,83.803
688653,康希通信,33.91,1.683,28.556,46.557,39.485,69.48,0.373,1.057,1.289,1.814,63.891,68.93,83.803
688652,京仪装备,37.81,14.221,46.647,35.95,40.604,95.918,0.362,1.036,1.265,1.881,63.814,68.219,83.802
688646,ST逸飞,35.681,14.373,31.041,22.812,39.644,98.627,0.356,1.039,1.268,1.878,63.938,69.387,83.804
688625,呈和科技,32.971,27.693,7.617,1.49,39.991,99.051,0.331,1.018,1.241,1.882,63.751,67.781,83.8
688620,安凯微,34.686,3.008,24.638,38.575,39.564,91.231,0.376,1.053,1.287,1.861,63.755,67.079,83.798
688618,三旺通信,34.339,7.33,29.586,20.519,39.441,97.826,0.344,1.023,1.249,1.881,63.792,65.278,83.798
688599,天合光能,38.304,31.502,39.129,33.859,39.476,99.12,0.365,1.053,1.281,1.883,63.118,65.089,83.772
688567,孚能科技,36.388,29.608,27.343,21.264,39.446,98.265,0.386,1.077,1.31,1.882,63.936,68.358,83.783
688561,奇安信,38.813,16.54,49.677,36.499,39.561,98.974,0.373,1.059,1.29,1.766,65.761,70.446,83.811
688559,海目星,40.51,35.609,66.487,21.942,39.364,99.625,0.368,1.05,1.281,1.873,64.411,70.296,83.814
688533,上声电子,37.422,24.598,41.176,25.949,39.423,99.095,0.362,1.05,1.278,1.882,63.614,66.848,83.784
688525,佰维存储,40.79,31.516,74.661,17.756,39.384,99.767,0.402,1.086,1.321,1.883,63.325,74.557,83.825
688511,*ST天微,35.52,4.269,25.812,41.824,39.555,95.446,0.34,1.007,1.24,1.882,63.83,67.244,83.795
688499,利元亨,40.659,34.282,55.243,37.217,39.378,99.674,0.381,1.066,1.298,1.889,62.704,70.964,83.811
688488,艾迪药业,35.2,15.684,23.866,20.127,39.558,98.902,0.409,1.088,1.324,1.884,63.493,72.254,83.813
688458,美芯晟,35.636,0.763,16.808,49.972,52.574,58.799,0.381,1.051,1.284,1.857,64.755,95.589,83.804
688418,震有科技,41.078,23.428,68.967,40.425,39.539,99.34,0.382,1.075,1.306,1.879,63.854,68.923,83.816
688409,富创精密,35.452,16.487,25.173,22.803,39.429,98.312,0.374,1.048,1.276,1.882,64.272,70.558,83.808
688396,华润微,32.5,8.052,12.459,19.667,39.408,93.64,0.356,1.038,1.265,1.882,63.669,64.769,83.791
688386,泛亚微透,34.873,10.334,29.94,23.284,39.495,99.226,0.345,1.029,1.252,1.883,63.709,64.182,83.795
688367,工大高科,42.169,11.16,43.721,95.723,39.568,98.264,0.366,1.047,1.277,1.877,63.467,65.768,83.794
688348,昱能科技,36.18,9.408,44.812,10.973,39.419,97.215,0.35,1.037,1.266,1.878,64.555,79.441,83.811
688327,云从科技,35.029,21.866,17.954,20.069,39.405,97.281,0.515,1.214,1.446,1.878,63.809,71.1,83.809
688310,迈得医疗,34.527,7.64,27.591,29.771,39.566,95.827,0.347,1.029,1.25,1.885,63.68,61.95,83.787
688303,大全能源,29.513,5.419,2.992,10.986,39.431,91.284,0.319,1.008,1.227,1.883,63.61,52.208,83.789
688298,东方生物,35.349,6.64,6.976,44.998,39.044,91.284,0.41,1.133,1.36,1.878,63.153,83.507,83.806
688275,万润新能,34.686,29.853,11.055,14.26,39.418,99.125,0.388,1.079,1.311,1.882,63.693,70.362,83.81
688247,宣泰医药,31.181,4.338,12.546,10.868,39.417,87.167,0.35,1.03,1.256,1.88,63.837,67.685,83.802
688223,晶科能源,37.615,33.527,35.031,26.694,39.82,99.138,0.365,1.051,1.279,1.883,63.293,65.51,83.785
688221,前沿生物,32.467,16.475,6.47,2.476,39.537,98.001,0.833,1.491,1.718,1.877,63.732,73.125,83.871
688218,江苏北人,37.885,22.04,45.402,28.119,39.704,99.155,0.362,1.046,1.274,1.881,63.764,68.069,83.801
688206,概伦电子,30.98,6.671,7.749,8.711,39.484,89.451,0.41,1.086,1.317,1.877,64.031,67.169,83.801
688193,仁度生物,29.784,3.226,11.341,5.04,39.596,79.941,0.393,1.053,1.285,1.85,63.511,66.375,83.802
688192,迪哲医药,35.734,19.273,5.424,19.042,39.532,99.653,2.263,2.875,3.101,1.877,63.722,88.115,83.93
688189,南新制药,34.176,10.89,36.372,10.323,39.099,95.355,0.357,1.063,1.292,1.87,67.321,62.377,83.794
688184,ST帕瓦,34.237,12.095,21.295,20.461,39.415,98.061,0.388,1.099,1.336,1.883,63.978,67.037,83.801
688178,万德斯,37.952,21.361,29.327,43.226,39.417,99.582,0.392,1.076,1.308,1.885,63.607,70.435,83.808
688171,纬德信息,32.128,0.825,16.006,80.473,39.44,42.53,0.355,1.038,1.265,1.882,63.542,54.393,83.788
688168,安博通,37.362,10.099,46.54,27.673,39.502,97.292,0.367,1.057,1.283,1.898,65.741,73.087,83.808
688165,埃夫特,37.135,20.517,31.782,32.662,39.707,98.787,0.384,1.064,1.295,1.885,63.05,70.683,83.808
688159,有方科技,39.9,23.503,55.445,37.456,39.389,99.369,0.386,1.067,1.299,1.889,62.864,72.297,83.833
688152,麒麟信安,35.167,4.551,31.223,27.271,39.403,95.339,0.444,1.088,1.341,1.891,63.635,72.018,83.803
688138,清溢光电,34.924,14.67,23.678,25.545,39.572,98.503,0.355,1.039,1.266,1.881,63.621,65.162,83.794
688135,利扬芯片,33.269,20.191,10.108,13.152,39.373,99.666,0.381,1.054,1.287,1.833,62.3,66.087,83.792
688116,天奈科技,35.664,19.497,14.31,37.466,39.499,98.179,0.351,1.029,1.252,1.883,63.698,67.0,83.799
688114,华大智造,33.003,7.457,20.448,9.509,39.42,92.323,0.398,1.092,1.321,1.876,63.624,74.768,83.806
688098,申联生物,32.849,1.709,27.466,6.701,39.396,98.434,0.361,1.045,1.272,1.882,63.854,68.268,83.8
688079,美迪凯,33.233,14.959,5.25,20.336,39.465,99.454,0.416,1.1,1.34,1.885,64.138,66.651,83.798
688075,安旭生物,37.05,4.661,7.704,61.788,38.431,98.507,0.359,1.018,1.241,1.878,64.64,80.575,83.805
688071,华依科技,35.033,22.661,23.595,13.87,39.632,99.5,0.38,1.067,1.3,1.889,63.599,69.098,83.804
688068,热景生物,35.983,1.849,5.243,64.865,39.522,95.935,0.389,1.052,1.285,1.843,64.166,71.845,83.804
688051,佳华科技,38.748,13.787,44.033,42.496,39.458,99.553,0.441,1.157,1.385,1.877,63.766,73.223,83.807
688048,长光华芯,34.098,3.34,11.849,41.919,39.439,92.421,0.414,1.108,1.351,1.885,63.921,67.727,83.799
688032,禾迈股份,33.35,4.627,17.979,35.094,39.445,82.725,0.341,1.023,1.247,1.882,63.86,68.172,83.802
688023,安恒信息,35.571,21.686,22.531,22.721,39.445,98.067,0.406,1.085,1.315,1.878,63.75,70.162,83.808
688017,绿的谐波,32.212,12.29,14.174,5.943,39.607,96.306,0.341,1.025,1.252,1.88,63.565,66.362,83.799
688007,光峰科技,34.943,14.839,22.497,28.46,39.448,97.052,0.372,1.053,1.288,1.813,63.26,65.486,83.75
688001,华兴源创,37.087,12.784,35.775,38.925,39.349,98.379,0.36,1.041,1.271,1.878,63.774,67.703,83.801
605598,上海港湾,38.564,8.126,26.204,76.664,39.568,95.487,0.35,1.04,1.265,1.884,63.74,64.653,83.79
605388,均瑶健康,34.303,9.748,15.54,30.627,39.516,97.349,0.371,1.055,1.282,1.889,63.614,66.846,83.8
605377,华旺科技,35.859,15.629,24.041,36.025,39.471,96.849,0.354,1.039,1.266,1.882,63.739,66.219,83.797
605366,宏柏新材,34.71,14.823,24.459,20.672,39.063,99.479,0.373,1.053,1.285,1.867,63.352,66.3,83.796
605303,园林股份,42.081,24.065,53.358,66.735,39.549,99.237,0.39,1.098,1.333,1.882,63.757,69.747,83.822
